Product_ID,Product_Name,Category,Cost_Price,Selling_Price,Demand,Revenue,Date,Inventory,Competitor_Price,Season
PRD-0034,Wireless Earbuds,Electronics,37493,50884,285,14501940,2024-07-18,282,54566,Summer
PRD-0035,Smart Ring,Accessories,3146,5351,149,797299,2023-06-01,212,5483,Summer
PRD-0036,Sunglasses UV400,Accessories,5054,6702,123,824346,2023-04-16,281,6198,Spring
PRD-0037,Smart Ring,Accessories,5199,6977,247,1723319,2023-07-01,507,6271,Summer
PRD-0038,Silk Scarf,Fashion,8522,14645,75,1098375,2023-10-01,109,16010,Autumn
PRD-0039,LED Monitor,Electronics,16344,27621,274,7568154,2023-11-09,323,27292,Autumn
PRD-0040,Eye Cream,Beauty,1283,2205,135,297675,2023-10-13,264,2514,Autumn
PRD-0041,Finance Freedom,Books,535,679,286,194194,2023-07-02,247,775,Summer
PRD-0042,Air Fryer,Home Appliances,26042,36152,73,2639096,2024-06-07,82,37304,Summer
PRD-0043,Bluetooth Speaker,Electronics,5086,8928,74,660672,2024-11-17,179,9031,Autumn
PRD-0044,Desk Organizer,Accessories,3782,4821,139,670119,2024-06-03,206,5400,Summer
PRD-0045,Summer Dress,Fashion,2418,3866,209,807994,2023-06-28,362,3726,Summer
PRD-0046,Tablet Z,Electronics,15719,26274,152,3993648,2023-11-26,177,27115,Autumn
PRD-0047,Instant Pot,Home Appliances,23742,32533,131,4261823,2024-09-26,272,34132,Autumn
PRD-0048,Perfume Luxe,Beauty,2862,3687,196,722652,2024-05-01,309,3185,Spring
PRD-0049,Self Help Master,Books,445,637,202,128674,2023-06-01,419,618,Summer
PRD-0050,Resistance Bands,Sports,5515,7342,203,1490426,2024-12-13,248,8012,Winter
PRD-0051,Creative Thinking,Books,205,303,257,77871,2024-07-26,595,306,Summer
PRD-0052,Induction Cooktop,Home Appliances,29409,44958,193,8676894,2024-05-01,430,50315,Spring
PRD-0053,Winter Coat,Fashion,6767,9235,71,655685,2023-10-20,165,8064,Autumn
PRD-0054,Wireless Earbuds,Electronics,16794,27145,151,4098895,2023-03-07,240,28826,Spring
PRD-0055,Bluetooth Speaker,Electronics,24863,41319,414,17106066,2023-01-21,599,46848,Winter
PRD-0056,Gaming Console,Electronics,20229,29008,225,6526800,2024-03-05,486,32416,Spring
PRD-0057,Creative Thinking,Books,240,351,252,88452,2023-12-11,512,301,Winter
PRD-0058,Business Strategy,Books,552,839,206,172834,2024-08-29,390,941,Summer
PRD-0059,LED Monitor,Electronics,14268,19349,125,2418625,2024-04-10,181,18347,Spring
PRD-0060,Jump Rope,Sports,1990,2486,40,99440,2024-07-06,47,2128,Summer
PRD-0061,Smartphone X12,Electronics,43466,76925,211,16231175,2023-01-21,339,69987,Winter
PRD-0062,Smart Watch,Electronics,28717,38876,196,7619696,2024-09-12,195,37347,Autumn
PRD-0063,Fitness Tracker,Sports,1024,1245,249,310005,2024-11-24,598,1175,Autumn
PRD-0064,Smart Watch,Electronics,10197,16963,295,5004085,2024-09-06,520,18746,Autumn
PRD-0065,Bluetooth Speaker,Electronics,38738,48088,384,18465792,2023-01-13,376,50217,Winter
PRD-0066,Key Finder,Accessories,4019,5873,112,657776,2024-10-28,192,6285,Autumn
PRD-0067,Induction Cooktop,Home Appliances,29249,45496,209,9508664,2023-09-09,480,43071,Autumn
PRD-0068,Winter Coat,Fashion,6198,9922,244,2420968,2024-05-21,283,9435,Spring
PRD-0069,Protein Powder,Sports,2174,3386,35,118510,2024-07-23,33,3772,Summer
PRD-0070,Cycling Helmet,Sports,4020,5404,221,1194284,2024-12-29,212,5365,Winter
PRD-0071,Formal Shirt,Fashion,3562,5517,159,877203,2024-06-27,276,5473,Summer
PRD-0072,Coconut Milk,Grocery,452,611,124,75764,2023-07-17,300,541,Summer
PRD-0073,Perfume Luxe,Beauty,914,1362,274,373188,2024-06-21,607,1454,Summer
PRD-0074,Leather Bag,Fashion,2294,2772,29,80388,2023-10-08,38,2800,Autumn
PRD-0075,Key Finder,Accessories,754,910,133,121030,2024-05-05,118,851,Spring
PRD-0076,Key Finder,Accessories,816,1011,203,205233,2024-08-13,214,1008,Summer
PRD-0077,Stand Mixer,Home Appliances,4811,6490,231,1499190,2024-03-02,273,6603,Spring
PRD-0078,Water Purifier,Home Appliances,31981,44083,123,5422209,2024-03-15,226,45254,Spring
PRD-0079,Running Shoes,Sports,4491,6102,52,317304,2023-09-03,42,5335,Autumn
PRD-0080,Coconut Milk,Grocery,479,641,314,201274,2024-12-20,376,681,Winter
PRD-0081,Formal Shirt,Fashion,4751,7254,229,1661166,2023-09-30,248,7575,Autumn
PRD-0082,Sneakers Pro,Fashion,4892,7246,347,2514362,2024-02-17,569,6820,Winter
PRD-0083,Smartphone X12,Electronics,50361,82628,70,5783960,2023-01-27,155,85199,Winter
PRD-0084,Air Purifier,Home Appliances,34986,56095,255,14304225,2023-02-11,429,52216,Winter
PRD-0085,Green Tea Pack,Grocery,336,521,330,171930,2024-05-18,493,542,Spring
PRD-0086,Denim Jeans,Fashion,9077,12689,211,2677379,2023-10-23,442,13426,Autumn
PRD-0087,Laptop Pro,Electronics,21040,29329,427,12523483,2024-02-18,342,33466,Winter
PRD-0088,Creative Thinking,Books,319,419,222,93018,2024-05-25,254,402,Spring
PRD-0089,Stand Mixer,Home Appliances,16458,26645,156,4156620,2024-10-07,167,23619,Autumn
PRD-0090,Induction Cooktop,Home Appliances,5076,9113,368,3353584,2024-04-17,391,10242,Spring
PRD-0091,Phone Case Pro,Accessories,2948,4021,108,434268,2024-04-28,157,4425,Spring
PRD-0092,Smart Ring,Accessories,4866,6646,177,1176342,2024-02-29,222,7224,Winter
PRD-0093,Tablet Z,Electronics,47711,73854,182,13441428,2023-06-02,248,77398,Summer
PRD-0094,Jump Rope,Sports,3351,4668,99,462132,2024-12-15,223,4232,Winter
PRD-0095,Protein Granola,Grocery,1068,1734,459,795906,2024-01-31,876,1896,Winter
PRD-0096,Smartphone X12,Electronics,11439,20352,272,5535744,2023-04-13,461,19326,Spring
PRD-0097,Olive Oil 1L,Grocery,633,1008,219,220752,2024-04-25,407,903,Spring
PRD-0098,Premium Coffee,Grocery,1207,2066,429,886314,2024-01-25,990,2289,Winter
PRD-0099,Air Purifier,Home Appliances,22376,30003,339,10171017,2023-10-22,521,31663,Autumn
PRD-0100,Laptop Pro,Electronics,27628,44658,140,6252120,2023-02-17,197,50063,Winter
PRD-0101,Basmati Rice 5kg,Grocery,791,1218,93,113274,2023-06-24,135,1325,Summer
PRD-0102,Body Lotion,Beauty,3212,4130,154,636020,2023-09-18,359,4082,Autumn
PRD-0103,Green Tea Pack,Grocery,981,1270,356,452120,2023-12-20,867,1248,Winter
PRD-0104,Body Lotion,Beauty,2990,3945,51,201195,2024-05-09,72,3809,Spring
PRD-0105,Sneakers Pro,Fashion,719,1221,237,289377,2023-01-09,490,1183,Winter
PRD-0106,LED Monitor,Electronics,47475,82690,236,19514840,2023-08-24,444,89530,Summer
PRD-0107,Hair Growth Oil,Beauty,2273,3960,216,855360,2023-11-13,307,4134,Autumn
PRD-0108,Tablet Z,Electronics,21663,31396,278,8728088,2024-07-06,460,28578,Summer
PRD-0109,Summer Dress,Fashion,3070,5203,217,1129051,2023-10-30,216,5175,Autumn
PRD-0110,Smart Ring,Accessories,4272,5705,353,2013865,2024-11-21,765,6007,Autumn
PRD-0111,Almond Butter,Grocery,118,180,211,37980,2024-11-19,305,178,Autumn
PRD-0112,Lipstick Set,Beauty,558,748,119,89012,2024-07-28,226,641,Summer
PRD-0113,Body Lotion,Beauty,3201,4422,30,132660,2023-05-24,75,4300,Spring
PRD-0114,Smart Watch,Electronics,50250,64390,298,19188220,2024-11-17,512,63495,Autumn
PRD-0115,Instant Pot,Home Appliances,31219,49730,168,8354640,2024-09-22,144,54708,Autumn
PRD-0116,Coconut Milk,Grocery,678,910,172,156520,2024-12-03,326,873,Winter
PRD-0117,Tablet Z,Electronics,14680,18692,51,953292,2024-04-10,96,20644,Spring
PRD-0118,Sunglasses UV400,Accessories,4449,5989,91,544999,2024-08-01,159,5317,Summer
PRD-0119,Coffee Maker,Home Appliances,12842,16547,163,2697161,2023-01-03,404,18535,Winter
PRD-0120,Instant Pot,Home Appliances,5628,9679,257,2487503,2024-01-02,347,8610,Winter
PRD-0121,Smartphone X12,Electronics,11465,16654,162,2697948,2023-03-07,271,14724,Spring
PRD-0122,Smart Watch,Electronics,53216,65244,178,11613432,2024-11-05,434,70788,Autumn
PRD-0123,LED Monitor,Electronics,48212,70185,275,19300875,2024-12-30,258,61930,Winter
PRD-0124,Robot Vacuum,Home Appliances,6164,9706,170,1650020,2024-12-30,289,9955,Winter
PRD-0125,Almond Butter,Grocery,229,371,298,110558,2024-10-28,677,410,Autumn
PRD-0126,Basmati Rice 5kg,Grocery,638,1082,108,116856,2023-04-08,133,1049,Spring
PRD-0127,Key Finder,Accessories,563,957,212,202884,2023-04-09,216,840,Spring
PRD-0128,Gaming Console,Electronics,39171,56660,343,19434380,2024-03-09,839,63011,Spring
PRD-0129,Air Fryer,Home Appliances,5419,8153,72,587016,2024-05-08,161,7309,Spring
PRD-0130,Green Tea Pack,Grocery,846,1425,221,314925,2024-09-28,187,1573,Autumn
PRD-0131,Phone Case Pro,Accessories,356,486,150,72900,2023-12-14,157,524,Winter
PRD-0132,Moisturizer SPF50,Beauty,668,1055,81,85455,2024-06-27,112,906,Summer
PRD-0133,Protein Granola,Grocery,1110,1710,78,133380,2023-02-23,69,1497,Winter
PRD-0134,LED Monitor,Electronics,38759,57805,79,4566595,2023-10-07,110,56800,Autumn
PRD-0135,LED Monitor,Electronics,31874,44147,30,1324410,2024-09-05,72,40446,Autumn
PRD-0136,Fitness Tracker,Sports,2239,2848,73,207904,2024-03-16,146,2846,Spring
PRD-0137,Air Fryer,Home Appliances,4378,7517,146,1097482,2023-01-20,195,6485,Winter
PRD-0138,Almond Butter,Grocery,1022,1483,301,446383,2023-01-22,726,1312,Winter
PRD-0139,Protein Granola,Grocery,215,367,128,46976,2024-08-26,292,339,Summer
PRD-0140,Running Shoes,Sports,2532,3294,169,556686,2023-04-27,358,3304,Spring
PRD-0141,Olive Oil 1L,Grocery,407,524,61,31964,2024-09-08,57,476,Autumn
PRD-0142,Key Finder,Accessories,2705,4161,291,1210851,2024-11-28,547,4260,Autumn
PRD-0143,Lipstick Set,Beauty,698,866,245,212170,2023-11-07,343,851,Autumn
PRD-0144,LED Monitor,Electronics,28048,34615,277,9588355,2023-03-20,264,38060,Spring
PRD-0145,Induction Cooktop,Home Appliances,17269,26466,225,5954850,2023-02-12,429,28783,Winter
PRD-0146,Winter Coat,Fashion,5514,9785,331,3238835,2023-12-18,628,9640,Winter
PRD-0147,LED Monitor,Electronics,55540,84112,156,13121472,2024-01-08,233,86883,Winter
PRD-0148,Designer Jacket,Fashion,8392,13330,163,2172790,2023-04-07,200,11594,Spring
PRD-0149,Business Strategy,Books,287,445,130,57850,2023-12-25,250,397,Winter
PRD-0150,Laptop Pro,Electronics,20789,29645,273,8093085,2023-05-11,561,32239,Spring
PRD-0151,Moisturizer SPF50,Beauty,2332,3391,151,512041,2024-01-07,209,3250,Winter
PRD-0152,Running Shoes,Sports,1818,2332,158,368456,2023-04-14,325,2036,Spring
PRD-0153,Air Fryer,Home Appliances,30921,48571,89,4322819,2023-06-07,188,49988,Summer
PRD-0154,Dumbbell Set,Sports,5132,6293,289,1818677,2023-09-01,601,6037,Autumn
PRD-0155,Running Shoes,Sports,3878,5374,298,1601452,2024-04-25,582,5872,Spring
PRD-0156,Water Purifier,Home Appliances,17235,23596,143,3374228,2024-06-24,163,22760,Summer
PRD-0157,Stand Mixer,Home Appliances,3722,5540,233,1290820,2023-04-16,236,5326,Spring
PRD-0158,Wireless Earbuds,Electronics,18912,32967,50,1648350,2024-03-23,109,29479,Spring
PRD-0159,Data Science Handbook,Books,320,460,360,165600,2024-01-31,305,443,Winter
PRD-0160,Desk Organizer,Accessories,4473,5737,197,1130189,2024-04-28,394,5370,Spring
PRD-0161,Organic Rice 5kg,Grocery,1278,1548,204,315792,2023-06-03,346,1416,Summer
PRD-0162,Tablet Z,Electronics,17120,21796,220,4795120,2024-10-16,217,20086,Autumn
PRD-0163,Sunglasses UV400,Accessories,3613,5582,155,865210,2023-10-26,187,5948,Autumn
PRD-0164,Premium Coffee,Grocery,781,1106,253,279818,2024-07-11,441,1256,Summer
PRD-0165,Coconut Milk,Grocery,157,225,130,29250,2023-01-17,157,216,Winter
PRD-0166,Moisturizer SPF50,Beauty,2746,4506,139,626334,2023-02-15,263,4280,Winter
PRD-0167,Creative Thinking,Books,552,821,41,33661,2023-05-19,65,743,Spring
PRD-0168,Designer Jacket,Fashion,8411,14563,178,2592214,2023-11-14,307,13757,Autumn
PRD-0169,Formal Shirt,Fashion,3361,5772,87,502164,2024-11-02,124,4989,Autumn
PRD-0170,Creative Thinking,Books,517,740,258,190920,2024-05-23,556,845,Spring
PRD-0171,Denim Jeans,Fashion,7771,9693,202,1957986,2023-07-04,189,9991,Summer
PRD-0172,Foundation Pro,Beauty,1672,2726,101,275326,2024-03-30,230,2453,Spring
PRD-0173,Almond Butter,Grocery,457,817,252,205884,2023-03-18,421,927,Spring
PRD-0174,Dumbbell Set,Sports,6684,8593,29,249197,2024-03-24,62,8870,Spring
PRD-0175,Almond Butter,Grocery,1334,1627,271,440917,2024-04-05,568,1458,Spring
PRD-0176,Air Fryer,Home Appliances,15135,24061,25,601525,2023-04-27,42,22254,Spring
PRD-0177,Leather Wallet,Accessories,1614,2189,111,242979,2024-09-18,181,2154,Autumn
PRD-0178,Laptop Pro,Electronics,28054,48792,305,14881560,2023-03-31,756,47989,Spring
PRD-0179,Moisturizer SPF50,Beauty,2015,2769,279,772551,2023-06-11,526,2603,Summer
PRD-0180,Running Shoes,Sports,1113,1470,27,39690,2024-05-20,39,1311,Spring
PRD-0181,Dumbbell Set,Sports,4400,5508,187,1029996,2024-05-05,411,5193,Spring
PRD-0182,Gaming Console,Electronics,37759,55505,84,4662420,2023-12-19,146,58504,Winter
PRD-0183,Instant Pot,Home Appliances,16276,28425,148,4206900,2023-05-08,159,24634,Spring
PRD-0184,Travel Pillow,Accessories,2069,3651,115,419865,2023-03-22,200,4084,Spring
PRD-0185,Tablet Z,Electronics,36336,45640,318,14513520,2024-08-29,611,47570,Summer
PRD-0186,Protein Powder,Sports,5945,9144,69,630936,2023-01-30,146,10036,Winter
PRD-0187,Formal Shirt,Fashion,8170,11846,312,3695952,2024-05-24,590,12340,Spring
PRD-0188,Formal Shirt,Fashion,8547,13769,197,2712493,2023-03-16,297,12932,Spring
PRD-0189,Protein Granola,Grocery,889,1234,361,445474,2023-12-20,516,1315,Winter
PRD-0190,Air Fryer,Home Appliances,9977,12706,48,609888,2023-05-25,70,12514,Spring
PRD-0191,Coffee Maker,Home Appliances,33769,58805,264,15524520,2024-08-14,283,64335,Summer
PRD-0192,Key Finder,Accessories,2893,4007,205,821435,2024-02-07,239,3434,Winter
PRD-0193,Organic Rice 5kg,Grocery,466,726,169,122694,2024-11-19,379,801,Autumn
PRD-0194,Green Tea Pack,Grocery,1046,1735,44,76340,2024-02-15,62,1665,Winter
PRD-0195,Silk Scarf,Fashion,5543,9194,174,1599756,2024-09-30,428,8586,Autumn
PRD-0196,Protein Granola,Grocery,825,1171,145,169795,2024-09-08,127,1046,Autumn
PRD-0197,Gaming Console,Electronics,46002,69537,72,5006664,2024-06-11,97,62214,Summer
PRD-0198,Green Tea Pack,Grocery,872,1312,227,297824,2024-05-16,496,1316,Spring
PRD-0199,Premium Coffee,Grocery,1374,2130,286,609180,2024-12-05,358,2320,Winter
PRD-0200,Perfume Luxe,Beauty,2581,4001,216,864216,2024-10-06,312,3606,Autumn
PRD-0201,Self Help Master,Books,163,288,161,46368,2023-01-20,242,254,Winter
PRD-0202,Winter Coat,Fashion,9228,15148,161,2438828,2023-05-22,402,13159,Spring
PRD-0203,Induction Cooktop,Home Appliances,12354,16108,266,4284728,2023-12-17,605,18100,Winter
PRD-0204,Foundation Pro,Beauty,2213,2911,130,378430,2024-07-25,321,2690,Summer
PRD-0205,Running Shoes,Sports,4925,7355,365,2684575,2024-07-27,462,7310,Summer
PRD-0206,Bluetooth Speaker,Electronics,50684,72819,100,7281900,2023-05-30,201,69436,Spring
PRD-0207,Winter Coat,Fashion,7060,11638,107,1245266,2024-07-05,135,10639,Summer
PRD-0208,Smart Watch,Electronics,17365,27817,76,2114092,2024-10-15,103,28076,Autumn
PRD-0209,Instant Pot,Home Appliances,2171,3322,332,1102904,2024-02-21,534,3750,Winter
PRD-0210,Foundation Pro,Beauty,1260,2000,230,460000,2023-04-02,473,2245,Spring
PRD-0211,Data Science Handbook,Books,524,684,324,221616,2023-06-30,720,762,Summer
PRD-0212,Dumbbell Set,Sports,6575,11686,34,397324,2023-02-08,33,13180,Winter
PRD-0213,Phone Case Pro,Accessories,2653,4204,283,1189732,2023-05-18,319,4235,Spring
PRD-0214,Wireless Earbuds,Electronics,42287,67193,341,22912813,2023-01-15,602,71599,Winter
PRD-0215,Dumbbell Set,Sports,4393,6955,154,1071070,2024-03-13,298,6758,Spring
PRD-0216,Wireless Earbuds,Electronics,29350,51700,102,5273400,2024-01-28,247,44051,Winter
PRD-0217,Designer Jacket,Fashion,3116,4411,46,202906,2024-11-14,69,4062,Autumn
PRD-0218,Stand Mixer,Home Appliances,24780,39232,259,10161088,2024-01-12,266,44418,Winter
PRD-0219,Gaming Console,Electronics,26208,40086,319,12787434,2024-07-04,668,39735,Summer
PRD-0220,Moisturizer SPF50,Beauty,1934,2934,65,190710,2024-07-31,152,2812,Summer
PRD-0221,Summer Dress,Fashion,2145,3674,78,286572,2024-11-27,74,3610,Autumn
PRD-0222,Air Purifier,Home Appliances,16963,25579,202,5166958,2023-03-01,267,25247,Spring
PRD-0223,Tablet Z,Electronics,46639,76837,196,15060052,2023-02-16,337,78642,Winter
PRD-0224,Laptop Pro,Electronics,55293,82013,285,23373705,2023-07-04,702,76775,Summer
PRD-0225,Eye Cream,Beauty,1436,2491,169,420979,2024-01-22,325,2453,Winter
PRD-0226,Air Fryer,Home Appliances,5915,10622,218,2315596,2023-05-11,176,10281,Spring
PRD-0227,Tablet Z,Electronics,28613,46681,294,13724214,2024-01-24,408,45618,Winter
PRD-0228,Denim Jeans,Fashion,822,1312,102,133824,2023-01-17,185,1357,Winter
PRD-0229,Organic Rice 5kg,Grocery,418,513,106,54378,2024-07-06,95,504,Summer
PRD-0230,Stand Mixer,Home Appliances,9727,17021,242,4119082,2024-08-14,326,17410,Summer
PRD-0231,Summer Dress,Fashion,10357,15668,41,642388,2023-10-09,94,15262,Autumn
PRD-0232,Minimalist Watch,Accessories,3202,3932,215,845380,2024-10-20,288,3748,Autumn
PRD-0233,Olive Oil 1L,Grocery,490,642,245,157290,2023-09-04,491,649,Autumn
PRD-0234,Yoga Mat Pro,Sports,4068,7244,133,963452,2023-05-18,181,7368,Spring
PRD-0235,LED Monitor,Electronics,48204,60519,42,2541798,2023-07-15,77,64596,Summer
PRD-0236,Laptop Pro,Electronics,14596,24186,94,2273484,2024-07-26,220,25814,Summer
PRD-0237,Designer Jacket,Fashion,2618,3440,345,1186800,2024-05-05,689,3689,Spring
PRD-0238,Basmati Rice 5kg,Grocery,818,1362,220,299640,2024-06-30,311,1313,Summer
PRD-0239,Creative Thinking,Books,190,340,263,89420,2023-11-24,395,337,Autumn
PRD-0240,Coffee Maker,Home Appliances,26461,32011,217,6946387,2024-08-21,230,32523,Summer
PRD-0241,Silk Scarf,Fashion,6198,8351,163,1361213,2024-12-02,266,8478,Winter
PRD-0242,Cycling Helmet,Sports,3388,5555,232,1288760,2023-05-24,547,5309,Spring
PRD-0243,Air Purifier,Home Appliances,19290,32859,25,821475,2024-11-15,26,28663,Autumn
PRD-0244,Moisturizer SPF50,Beauty,2534,3055,50,152750,2024-01-18,119,3060,Winter
PRD-0245,Key Finder,Accessories,285,433,198,85734,2023-01-18,487,421,Winter
PRD-0246,Bluetooth Speaker,Electronics,46115,80511,149,11996139,2023-04-09,276,71019,Spring
PRD-0247,Leather Bag,Fashion,3173,4563,171,780273,2024-02-20,339,4389,Winter
PRD-0248,Denim Jeans,Fashion,7037,12068,152,1834336,2023-04-06,245,13008,Spring
PRD-0249,Hair Growth Oil,Beauty,473,808,268,216544,2023-12-06,258,843,Winter
PRD-0250,Air Purifier,Home Appliances,9582,16680,168,2802240,2024-08-03,156,17642,Summer
PRD-0251,Sunglasses UV400,Accessories,1169,1999,203,405797,2023-08-01,408,1709,Summer
PRD-0252,Premium Coffee,Grocery,489,752,281,211312,2024-02-03,408,767,Winter
PRD-0253,Resistance Bands,Sports,3655,6523,71,463133,2024-03-23,130,5650,Spring
PRD-0254,Induction Cooktop,Home Appliances,33974,47422,172,8156584,2024-04-06,413,49330,Spring
PRD-0255,Almond Butter,Grocery,211,332,54,17928,2024-12-31,78,362,Winter
PRD-0256,Dumbbell Set,Sports,5256,7306,320,2337920,2023-01-06,670,6444,Winter
PRD-0257,Laptop Pro,Electronics,14557,21389,57,1219173,2024-02-22,99,21740,Winter
PRD-0258,Air Fryer,Home Appliances,30503,36829,243,8949447,2023-03-28,604,35877,Spring
PRD-0259,Summer Dress,Fashion,7353,9571,128,1225088,2023-10-02,197,8907,Autumn
PRD-0260,Coconut Milk,Grocery,1117,1582,186,294252,2024-10-02,294,1793,Autumn
PRD-0261,Smartphone X12,Electronics,53390,74710,189,14120190,2023-12-04,416,77404,Winter
PRD-0262,Hair Growth Oil,Beauty,1191,1860,143,265980,2024-05-05,350,1969,Spring
PRD-0263,Winter Coat,Fashion,10178,16989,228,3873492,2023-10-15,227,16102,Autumn
PRD-0264,Instant Pot,Home Appliances,24497,37482,324,12144168,2024-04-17,699,42576,Spring
PRD-0265,Python ML Guide,Books,486,815,59,48085,2024-05-26,73,793,Spring
PRD-0266,Bluetooth Speaker,Electronics,45243,56299,233,13117667,2024-05-05,552,64587,Spring
PRD-0267,Leadership 101,Books,373,625,241,150625,2024-07-03,238,599,Summer
PRD-0268,Leather Bag,Fashion,2163,3391,207,701937,2024-10-22,430,3455,Autumn
PRD-0269,Minimalist Watch,Accessories,772,972,205,199260,2024-06-15,241,891,Summer
PRD-0270,Coconut Milk,Grocery,1104,1715,387,663705,2023-12-20,504,1715,Winter
PRD-0271,Leather Wallet,Accessories,827,1459,112,163408,2023-11-16,189,1302,Autumn
PRD-0272,Denim Jeans,Fashion,4882,7899,33,260667,2023-11-04,28,7470,Autumn
PRD-0273,Denim Jeans,Fashion,7271,9442,191,1803422,2023-09-07,260,10813,Autumn
PRD-0274,Coconut Milk,Grocery,401,579,179,103641,2024-10-17,368,524,Autumn
PRD-0275,Creative Thinking,Books,393,563,132,74316,2023-07-30,284,598,Summer
PRD-0276,Instant Pot,Home Appliances,14071,18549,233,4321917,2024-11-17,440,16401,Autumn
PRD-0277,Induction Cooktop,Home Appliances,21371,30106,79,2378374,2024-09-24,171,33227,Autumn
PRD-0278,Leather Wallet,Accessories,3829,5314,76,403864,2023-04-30,127,4897,Spring
PRD-0279,Olive Oil 1L,Grocery,847,1231,267,328677,2024-07-04,667,1226,Summer
PRD-0280,Water Purifier,Home Appliances,11532,15133,37,559921,2024-09-26,30,16686,Autumn
PRD-0281,Bluetooth Speaker,Electronics,54155,81409,218,17747162,2024-12-02,339,81286,Winter
PRD-0282,Smartphone X12,Electronics,45590,60740,158,9596920,2023-08-19,249,52225,Summer
PRD-0283,Cycling Helmet,Sports,3983,5050,255,1287750,2024-07-10,561,4466,Summer
PRD-0284,LED Monitor,Electronics,32864,58954,191,11260214,2024-10-31,477,51922,Autumn
PRD-0285,Protein Granola,Grocery,1221,1529,267,408243,2023-05-01,582,1697,Spring
PRD-0286,Air Fryer,Home Appliances,30415,47635,53,2524655,2024-09-22,61,46608,Autumn
PRD-0287,Gaming Console,Electronics,32146,50087,122,6110614,2024-12-21,295,45104,Winter
PRD-0288,Robot Vacuum,Home Appliances,6474,10682,354,3781428,2023-03-02,360,10399,Spring
PRD-0289,Self Help Master,Books,210,293,107,31351,2024-11-23,201,271,Autumn
PRD-0290,Eye Cream,Beauty,1692,2674,175,467950,2023-04-06,347,2979,Spring
PRD-0291,Creative Thinking,Books,540,754,207,156078,2023-04-06,399,641,Spring
PRD-0292,Premium Coffee,Grocery,1134,1631,205,334355,2023-08-05,263,1860,Summer
